"","LocalityName","Treatment","Years_Since_Exclosure","Group","Month","Mean_Subplot_Albedo","SE"
"49","selbu_kl","UB",1,"Composite",1,0.406050174465652,0.0138950787094646
"50","selbu_sl","UB",1,"Composite",1,0.442842938311473,0.0137835941398197
"51","singsaas","UB",1,"Composite",1,0.401813450556174,0.0162625662350349
"52","sl_tydal","UB",1,"Composite",1,0.462405924550817,0.0116020765252935
"53","steinkjer_1bbb","UB",1,"Composite",1,0.454670937204816,0.00176642527838319
"54","steinkjer_2bbb","UB",1,"Composite",1,0.456378165950676,0.00161433758531908
"55","sub_namdalseid","UB",1,"Composite",1,0.44593864875116,0.013751231276685
"56","verdal_1vb","UB",1,"Composite",1,0.332282239220791,0.00289048793765389
"57","verdal_2vb","UB",1,"Composite",1,0.294909555287233,0.00391025889803716
"58","bratsberg","B",2,"Composite",1,0.41117602894397,0.000680345759166278
"59","drangedal1","B",2,"Composite",1,0.438031475270447,0.00488390947118455
"60","drangedal3","B",2,"Composite",1,0.468084900941994,0.000170857501623323
"61","drangedal4","B",2,"Composite",1,0.450309611667715,0.00934718670382717
"62","fritsoe1","B",2,"Composite",1,0.445661839445151,0.00636417026888383
"63","fritsoe2","B",2,"Composite",1,0.42109013127265,0.0146464998959679
"64","furesdal","B",2,"Composite",1,0.405912949832099,0.00395749909543949
"65","hi_tydal","B",2,"Composite",1,0.456743290686412,0.00863924215861002
"66","kviteseid1","B",2,"Composite",1,0.467558953813151,0.0042712589501556
"67","kviteseid2","B",2,"Composite",1,0.475407676320418,0.00269410878349547
"68","kviteseid3","B",2,"Composite",1,0.478335101451354,0.000496409882456043
"69","malvik","B",2,"Composite",1,0.366111264345521,0.00587813212986577
"70","namdalseid_1kub","B",2,"Composite",1,0.410510154163808,0.000836934755390619
"71","nome_cappelen1","B",2,"Composite",1,0.408323988658215,0.00202164028441119
"72","nome_cappelen2","B",2,"Composite",1,0.401234962932811,0.00479183948914547
"73","notodden3","B",2,"Composite",1,0.436158373588839,0.00652001950166506
"74","notodden5","B",2,"Composite",1,0.408998359208819,0.0142292564625602
"75","notodden6","B",2,"Composite",1,0.426327589560962,0.00300198465283234
"76","nsb_verdal","B",2,"Composite",1,0.279536295973494,0.000728338209436785
"77","selbu_flub","B",2,"Composite",1,0.372539270745056,0.00516950484983309
"78","selbu_kl","B",2,"Composite",1,0.414159734534499,0.0212868767881486
"79","selbu_sl","B",2,"Composite",1,0.432145573280115,0.00945000158356049
"80","singsaas","B",2,"Composite",1,0.434426531692604,0.0110999318348864
"81","sl_tydal","B",2,"Composite",1,0.454059669864364,0.00209529695630068
"82","steinkjer_1bbb","B",2,"Composite",1,0.452416265321056,0.00270904659572879
"83","steinkjer_2bbb","B",2,"Composite",1,0.448334710921042,0.00109165223359
"84","sub_namdalseid","B",2,"Composite",1,0.454634676971419,0.00107210051533755
"85","verdal_1vb","B",2,"Composite",1,0.335179072790155,0.000883290295481169
"86","verdal_2vb","B",2,"Composite",1,0.287480580437132,0.00407134583582141
"87","bratsberg","UB",2,"Composite",1,0.411406446484865,0.00138068238286472
"88","drangedal1","UB",2,"Composite",1,0.451216121208253,0.00290546781221017
"89","drangedal3","UB",2,"Composite",1,0.460006783704519,0.00558630418652959
"90","drangedal4","UB",2,"Composite",1,0.459048865924039,0.00151678483378526
"91","fritsoe1","UB",2,"Composite",1,0.461688062479805,0.00146291278260852
"92","fritsoe2","UB",2,"Composite",1,0.444394934977739,0.00317711871646242
"93","furesdal","UB",2,"Composite",1,0.423254848681894,0.013607705217968
"94","hi_tydal","UB",2,"Composite",1,0.461063137193351,0.00311219887020162
"95","kviteseid1","UB",2,"Composite",1,0.463192134148178,0.0112559676926152
"96","kviteseid2","UB",2,"Composite",1,0.470161462860017,0.00669348543273835
"97","kviteseid3","UB",2,"Composite",1,0.468864293303082,0.00357256800635181
"98","malvik","UB",2,"Composite",1,0.374524341562097,0.00104480197129523
"99","namdalseid_1kub","UB",2,"Composite",1,0.40694222461469,0.00189463141626005
"100","nome_cappelen1","UB",2,"Composite",1,0.412083941037116,0.0105980121317555
"101","nome_cappelen2","UB",2,"Composite",1,0.399997145018992,0.00111312312378463
"102","notodden3","UB",2,"Composite",1,0.435003410113062,0.0104120030697198
"103","notodden5","UB",2,"Composite",1,0.350122278218882,0.0222083665243203
"104","notodden6","UB",2,"Composite",1,0.439971568587229,0.00547602079875899
"105","nsb_verdal","UB",2,"Composite",1,0.283170139442046,NA
"106","selbu_flub","UB",2,"Composite",1,0.381578095226303,0.00263215684241361
"107","selbu_kl","UB",2,"Composite",1,0.401581838857013,0.0150362415720545
"108","selbu_sl","UB",2,"Composite",1,0.442127706112183,0.0135477912201751
"109","singsaas","UB",2,"Composite",1,0.40340280192992,0.0113236646065286
"110","sl_tydal","UB",2,"Composite",1,0.456781150940416,0.00986161804335895
"111","steinkjer_1bbb","UB",2,"Composite",1,0.451892578015062,0.00241584557901007
"112","steinkjer_2bbb","UB",2,"Composite",1,0.455932154354703,0.00169118916228188
"113","sub_namdalseid","UB",2,"Composite",1,0.4526138221633,0.00603429679927649
"114","verdal_1vb","UB",2,"Composite",1,0.335007736196393,0.00187126191551409
"115","verdal_2vb","UB",2,"Composite",1,0.294142583108337,0.00375656338397494
"116","bratsberg","B",3,"Composite",1,0.413077957155444,0.0013984522973677
"117","didrik_holmsen","B",3,"Composite",1,0.334211917072655,0.00297154736780737
"118","drangedal1","B",3,"Composite",1,0.433395624119394,0.00556652628755438
"119","drangedal3","B",3,"Composite",1,0.468084900941994,0.000170857501623323
"120","drangedal4","B",3,"Composite",1,0.45046750541899,0.0082326210425763
"121","eidskog","B",3,"Composite",1,0.305389975852567,0.005796778222452
"122","fet_3","B",3,"Composite",1,0.32783490102556,0.00645024549261613
"123","fritsoe1","B",3,"Composite",1,0.441701828854267,0.00551596156796955
"124","fritsoe2","B",3,"Composite",1,0.421962061240245,0.0131017351084546
"125","furesdal","B",3,"Composite",1,0.407648156126029,0.00425769253394177
"126","halvard_pramhus","B",3,"Composite",1,0.303715703949565,0.00392904334281761
"127","hi_tydal","B",3,"Composite",1,0.458340820304727,0.00684206850778352
"128","kviteseid1","B",3,"Composite",1,0.467389732075974,0.00445560425911734
"129","kviteseid2","B",3,"Composite",1,0.471566600175339,0.00502866001459702
"130","kviteseid3","B",3,"Composite",1,0.478688415640702,0.000850463672320291
"131","malvik","B",3,"Composite",1,0.363283484613974,0.0055655892895571
"132","namdalseid_1kub","B",3,"Composite",1,0.410907435117004,0.000474690644091814
"133","nome_cappelen1","B",3,"Composite",1,0.408544761620003,0.00439227684938404
"134","nome_cappelen2","B",3,"Composite",1,0.397740598116043,0.00432612947616241
"135","notodden3","B",3,"Composite",1,0.433189278127726,0.00536884250784881
"136","notodden5","B",3,"Composite",1,0.412405579225407,0.012959868463936
"137","notodden6","B",3,"Composite",1,0.423380021550114,0.00425020076110714
"138","nsb_verdal","B",3,"Composite",1,0.278284397522361,0.00121204072598532
"139","selbu_flub","B",3,"Composite",1,0.370208976353822,0.00828921105903295
"140","selbu_kl","B",3,"Composite",1,0.395872609627117,0.0175751355485842
"141","selbu_sl","B",3,"Composite",1,0.433918059910512,0.008060391989619
"142","singsaas","B",3,"Composite",1,0.43289780824018,0.00887697128991238
"143","sl_tydal","B",3,"Composite",1,0.453070552841567,0.00124774359822184
"144","stangeskovene_aurskog","B",3,"Composite",1,0.375488972947773,0.00213807798575682
"145","stangeskovene_eidskog","B",3,"Composite",1,0.280053212433733,0.0118932876095807
"146","steinkjer_1bbb","B",3,"Composite",1,0.452900503950865,0.00228824711124464
"147","steinkjer_2bbb","B",3,"Composite",1,0.446589544409146,0.00189327692550704
"148","stig_dahlen","B",3,"Composite",1,0.289997319117252,0.0022371609612883
"149","sub_namdalseid","B",3,"Composite",1,0.454454122882058,0.00106100859972099
"150","truls_holm","B",3,"Composite",1,0.361199425420761,0.00129312172428554
"151","verdal_1vb","B",3,"Composite",1,0.335538525887253,0.000671260252289775
"152","verdal_2vb","B",3,"Composite",1,0.284331039249851,0.004410283155296
"153","bratsberg","UB",3,"Composite",1,0.406003841057746,0.00414509070284089
"154","didrik_holmsen","UB",3,"Composite",1,0.326931134516622,0.00407428525793888
"155","drangedal1","UB",3,"Composite",1,0.447380537942647,0.00428819848361375
"156","drangedal3","UB",3,"Composite",1,0.453923768271464,0.00775504548550488
"157","drangedal4","UB",3,"Composite",1,0.453883682876239,0.00221219231186003
"158","eidskog","UB",3,"Composite",1,0.312375739034047,0.000871688845472582
"159","fet_3","UB",3,"Composite",1,0.342951461659786,0.00106240615097939
"160","fritsoe1","UB",3,"Composite",1,0.455727794283302,0.00397441652648936
"161","fritsoe2","UB",3,"Composite",1,0.438149595402937,0.00138860415561759
"162","furesdal","UB",3,"Composite",1,0.400269673215933,0.0185182151293021
"163","halvard_pramhus","UB",3,"Composite",1,0.312555146515346,0.00136883189024632
"164","hi_tydal","UB",3,"Composite",1,0.459860951490987,0.00310146020137752
"165","kviteseid1","UB",3,"Composite",1,0.459863685029169,0.0115839849588752
"166","kviteseid2","UB",3,"Composite",1,0.470000977117117,0.00666173062373201
"167","kviteseid3","UB",3,"Composite",1,0.466370607269464,0.00326682022934426
"168","malvik","UB",3,"Composite",1,0.372640502640847,0.00162884058271609
"169","namdalseid_1kub","UB",3,"Composite",1,0.403084611791507,0.00287728343220555
"170","nome_cappelen1","UB",3,"Composite",1,0.39189628169864,0.00559755108542006
"171","nome_cappelen2","UB",3,"Composite",1,0.398280366559832,0.00126598281478938
"172","notodden3","UB",3,"Composite",1,0.434193254934184,0.0103352426308071
"173","notodden5","UB",3,"Composite",1,0.369468233502784,0.00929935952317976
"174","notodden6","UB",3,"Composite",1,0.431010429159882,0.00593825940972673
"175","nsb_verdal","UB",3,"Composite",1,0.284231162233809,0.00195298445982817
"176","selbu_flub","UB",3,"Composite",1,0.376587452996023,0.00406590001770292
"177","selbu_kl","UB",3,"Composite",1,0.396308822189649,0.0031083272147346
"178","selbu_sl","UB",3,"Composite",1,0.437636971903254,0.013495389025072
"179","singsaas","UB",3,"Composite",1,0.412323617045436,0.0145374377310291
"180","sl_tydal","UB",3,"Composite",1,0.452349349377265,0.00823007646781676
"181","stangeskovene_aurskog","UB",3,"Composite",1,0.372532073802901,0.00153805883710006
"182","stangeskovene_eidskog","UB",3,"Composite",1,0.297656694782797,0.00205464230349319
"183","steinkjer_1bbb","UB",3,"Composite",1,0.452363669897705,0.00231721557710981
"184","steinkjer_2bbb","UB",3,"Composite",1,0.455307550144564,0.00163969678587909
"185","stig_dahlen","UB",3,"Composite",1,0.278611850517446,0.00185919417318995
"186","sub_namdalseid","UB",3,"Composite",1,0.449917331728121,0.00570548344913361
"187","truls_holm","UB",3,"Composite",1,0.361825337133229,0.00317949224344437
"188","verdal_1vb","UB",3,"Composite",1,0.334835823662391,0.00182897244288449
"189","verdal_2vb","UB",3,"Composite",1,0.292473754187708,0.00332588710409582
"190","bratsberg","B",4,"Composite",1,0.413596890235507,0.00114625388514119
"191","didrik_holmsen","B",4,"Composite",1,0.333232897396028,0.00312469195257701
"192","drangedal1","B",4,"Composite",1,0.432766031972922,0.00570383673797346
"193","drangedal3","B",4,"Composite",1,0.446611735621665,0.0216440228219517
"194","drangedal4","B",4,"Composite",1,0.447889351845709,0.00769066248899479
"195","eidskog","B",4,"Composite",1,0.303933185534529,0.00699308737379537
"196","fet_3","B",4,"Composite",1,0.3214836556408,0.0120801035556195
"197","fritsoe1","B",4,"Composite",1,0.439881736643117,0.00852046661509304
"198","fritsoe2","B",4,"Composite",1,0.417169360273291,0.0114377621012685
"199","furesdal","B",4,"Composite",1,0.40769198186992,0.00240809298404161
"200","halvard_pramhus","B",4,"Composite",1,0.301771117892503,0.0052838910848114
"201","hi_tydal","B",4,"Composite",1,0.453821767938156,0.0107354794420676
"202","kviteseid1","B",4,"Composite",1,0.466114866796497,0.00520590596371923
"203","kviteseid2","B",4,"Composite",1,0.472934906320356,0.00468316728254753
"204","kviteseid3","B",4,"Composite",1,0.47920399935993,0.00114850422141408
"205","malvik","B",4,"Composite",1,0.362418995434169,0.00720760738628157
"206","namdalseid_1kub","B",4,"Composite",1,0.409344587292605,0.00032169768173584
"207","nome_cappelen1","B",4,"Composite",1,0.408599550723634,0.0058091980257676
"208","nome_cappelen2","B",4,"Composite",1,0.395121992031495,0.00326868743731608
"209","notodden3","B",4,"Composite",1,0.431925751402065,0.00555184796162535
"210","notodden5","B",4,"Composite",1,0.410718559734224,0.0135303331231654
"211","notodden6","B",4,"Composite",1,0.421210672039474,0.00376320326958366
"212","nsb_verdal","B",4,"Composite",1,0.278027471358669,0.00134240478491833
"213","selbu_flub","B",4,"Composite",1,0.368544646420122,0.00674209232445027
"214","selbu_kl","B",4,"Composite",1,0.3916953608862,0.0103507443073989
"215","selbu_sl","B",4,"Composite",1,0.434471689216877,0.0069416571461737
"216","singsaas","B",4,"Composite",1,0.429959861933127,0.00793448895534234
"217","sl_tydal","B",4,"Composite",1,0.455368818175738,0.00289034010546032
"218","stangeskovene_aurskog","B",4,"Composite",1,0.373133743359367,0.00205096652792125
"219","stangeskovene_eidskog","B",4,"Composite",1,0.279822757515957,0.0119220715449888
"220","steinkjer_1bbb","B",4,"Composite",1,0.451607311469805,0.00273877903292348
"221","steinkjer_2bbb","B",4,"Composite",1,0.447388378252005,0.00161530753849213
"222","stig_dahlen","B",4,"Composite",1,0.288733344240558,0.00292239345631837
"223","sub_namdalseid","B",4,"Composite",1,0.455072918371266,0.000862036893263991
"224","truls_holm","B",4,"Composite",1,0.35984719850702,0.00191384360982136
"225","verdal_1vb","B",4,"Composite",1,0.334650657927071,0.00137262417055513
"226","verdal_2vb","B",4,"Composite",1,0.282712128650221,0.00456300401701075
"227","bratsberg","UB",4,"Composite",1,0.403550823302022,0.00438371921217047
"228","didrik_holmsen","UB",4,"Composite",1,0.322965829860423,0.0054146823309253
"229","drangedal1","UB",4,"Composite",1,0.447458148225751,0.00527275475043577
"230","drangedal3","UB",4,"Composite",1,0.449556318324324,0.00757165662806386
"231","drangedal4","UB",4,"Composite",1,0.447112127901095,0.00242659697634399
"232","eidskog","UB",4,"Composite",1,0.313212397582845,0.00356997244740503
"233","fet_3","UB",4,"Composite",1,0.341067000251379,0.000486016455967602
"234","fritsoe1","UB",4,"Composite",1,0.450143425653188,0.00432179870774213
"235","fritsoe2","UB",4,"Composite",1,0.429656042762058,0.00399676479157362
"236","furesdal","UB",4,"Composite",1,0.404343639927634,0.0152436657452099
"237","halvard_pramhus","UB",4,"Composite",1,0.31217570616836,0.00156693820677
"238","hi_tydal","UB",4,"Composite",1,0.457498500769271,0.0023541763305808
"239","kviteseid1","UB",4,"Composite",1,0.461214702367723,0.0117428061107216
"240","kviteseid2","UB",4,"Composite",1,0.464334693431873,0.00781466836696429
"241","kviteseid3","UB",4,"Composite",1,0.463779882181995,0.00241152617377091
"242","malvik","UB",4,"Composite",1,0.370824868447231,0.00324014851508778
"243","namdalseid_1kub","UB",4,"Composite",1,0.402025325267609,0.00263007754726421
"244","nome_cappelen1","UB",4,"Composite",1,0.397426879405312,0.00352915326595365
"245","nome_cappelen2","UB",4,"Composite",1,0.396142253585946,0.00245148807094662
"246","notodden3","UB",4,"Composite",1,0.432147890359962,0.010355825244857
"247","notodden5","UB",4,"Composite",1,0.362160686520432,0.0141511930958695
"248","notodden6","UB",4,"Composite",1,0.429236784956947,0.0046828377520421
"249","nsb_verdal","UB",4,"Composite",1,0.283663952630423,0.00223907077034527
"250","selbu_flub","UB",4,"Composite",1,0.375049599687209,0.00367922789246732
"251","selbu_kl","UB",4,"Composite",1,0.389514973753569,0.00160859957099928
"252","selbu_sl","UB",4,"Composite",1,0.436513551774946,0.0131095021583471
"253","singsaas","UB",4,"Composite",1,0.415951976608418,0.0105299913871539
"254","sl_tydal","UB",4,"Composite",1,0.454652780993691,0.00344981718729951
"255","stangeskovene_aurskog","UB",4,"Composite",1,0.372212938390405,0.00129851097846492
"256","stangeskovene_eidskog","UB",4,"Composite",1,0.29745595707352,0.00159771131091458
"257","steinkjer_1bbb","UB",4,"Composite",1,0.449060511056257,0.00324709444463772
"258","steinkjer_2bbb","UB",4,"Composite",1,0.454069517068801,0.00215882374315455
"259","stig_dahlen","UB",4,"Composite",1,0.273050784489777,0.00141243202117899
"260","sub_namdalseid","UB",4,"Composite",1,0.449296851118694,0.00551299346109733
"261","truls_holm","UB",4,"Composite",1,0.35971289249646,0.00473726322903381
"262","verdal_1vb","UB",4,"Composite",1,0.333191903263359,0.00217780044423646
"263","verdal_2vb","UB",4,"Composite",1,0.288417240111318,0.00273610345040876
"264","bratsberg","B",5,"Composite",1,0.412721194486853,0.00192196061526403
"265","didrik_holmsen","B",5,"Composite",1,0.33021145537905,0.00220740001486667
"266","drangedal1","B",5,"Composite",1,0.430479648885964,0.00494265101104037
"267","drangedal3","B",5,"Composite",1,0.455580691691829,0.000189092432361149
"268","drangedal4","B",5,"Composite",1,0.449804724631711,0.00699876093667709
"269","eidskog","B",5,"Composite",1,0.30064229160705,0.00753386599247527
"270","fet_3","B",5,"Composite",1,0.3208086743471,0.0152331052548348
"271","fritsoe1","B",5,"Composite",1,0.44010280841529,0.00909802279906228
"272","fritsoe2","B",5,"Composite",1,0.415857170662623,0.0160750713497805
"273","furesdal","B",5,"Composite",1,0.406941446857168,0.00224481945413479
"274","halvard_pramhus","B",5,"Composite",1,0.300493082721354,0.00592166326781556
"275","hi_tydal","B",5,"Composite",1,0.452400824581039,0.0120217862225286
"276","kviteseid1","B",5,"Composite",1,0.463968113689324,0.00429469913851502
"277","kviteseid2","B",5,"Composite",1,0.467353393715908,0.0047725738764929
"278","kviteseid3","B",5,"Composite",1,0.47757318465653,0.000993879038578454
"279","malvik","B",5,"Composite",1,0.357595500366955,0.00959066830262776
"280","namdalseid_1kub","B",5,"Composite",1,0.407279078416451,0.00189715060330702
"281","nome_cappelen1","B",5,"Composite",1,0.406728812444158,0.00731120611224224
"282","nome_cappelen2","B",5,"Composite",1,0.390775086023107,0.00257223497120774
"283","notodden3","B",5,"Composite",1,0.429203793619311,0.00663216958024284
"284","notodden5","B",5,"Composite",1,0.400907671922529,0.0166085377983199
"285","notodden6","B",5,"Composite",1,0.420830076144895,0.00425774826106478
"286","nsb_verdal","B",5,"Composite",1,0.275832586449632,0.0012346498928514
"287","selbu_flub","B",5,"Composite",1,0.359482958010354,0.00973783743752715
"288","selbu_kl","B",5,"Composite",1,0.392664119275807,0.00850590601506416
"289","selbu_sl","B",5,"Composite",1,0.432884663344683,0.00895464615961072
"290","singsaas","B",5,"Composite",1,0.429858205556739,0.00740825335473725
"291","sl_tydal","B",5,"Composite",1,0.454089305773762,0.00159659629613242
"292","stangeskovene_aurskog","B",5,"Composite",1,0.371954831033018,0.00187358985358174
"293","stangeskovene_eidskog","B",5,"Composite",1,0.283806006428392,0.0100895221883693
"294","steinkjer_1bbb","B",5,"Composite",1,0.44889973203195,0.00479239841750074
"295","steinkjer_2bbb","B",5,"Composite",1,0.438945688458167,0.00419851538937278
"296","stig_dahlen","B",5,"Composite",1,0.287975622749288,0.00257669545701133
"297","sub_namdalseid","B",5,"Composite",1,0.452259330249741,0.00126107012855179
"298","truls_holm","B",5,"Composite",1,0.354990980665984,0.00351598814411163
"299","verdal_1vb","B",5,"Composite",1,0.336552016507677,0.000697255709300981
"300","verdal_2vb","B",5,"Composite",1,0.278991591131393,0.00698340846434961
"301","bratsberg","UB",5,"Composite",1,0.396849427216914,0.0056423054024891
"302","didrik_holmsen","UB",5,"Composite",1,0.317162882882542,0.00772546411599083
"303","drangedal1","UB",5,"Composite",1,0.44707128669286,0.00487026675429179
"304","drangedal3","UB",5,"Composite",1,0.453066142374441,0.00365674875846382
"305","drangedal4","UB",5,"Composite",1,0.442299646398516,0.00326026016164902
"306","eidskog","UB",5,"Composite",1,0.312454684946386,0.00389990711846539
"307","fet_3","UB",5,"Composite",1,0.339057595597753,0.00103353719026875
"308","fritsoe1","UB",5,"Composite",1,0.446768728818262,0.00646925884496015
"309","fritsoe2","UB",5,"Composite",1,0.425185072312241,0.00493345540714405
"310","furesdal","UB",5,"Composite",1,0.41382620332371,0.0165522829443653
"311","halvard_pramhus","UB",5,"Composite",1,0.309883092853562,0.00261104687701508
"312","hi_tydal","UB",5,"Composite",1,0.452013123562491,0.00291722086853017
"313","kviteseid1","UB",5,"Composite",1,0.458659970311308,0.0121026451640108
"314","kviteseid2","UB",5,"Composite",1,0.461585320588829,0.00852456235264098
"315","kviteseid3","UB",5,"Composite",1,0.460166196749831,0.00255440141902988
"316","malvik","UB",5,"Composite",1,0.367764500143229,0.00368459362828675
"317","namdalseid_1kub","UB",5,"Composite",1,0.394157619395188,0.00234235360337447
"318","nome_cappelen1","UB",5,"Composite",1,0.396393026097368,0.00289391279588454
"319","nome_cappelen2","UB",5,"Composite",1,0.395305660981419,0.00168135914281255
"320","notodden3","UB",5,"Composite",1,0.429774163258349,0.0108821760520274
"321","notodden5","UB",5,"Composite",1,0.348683841057585,0.0159149417875237
"322","notodden6","UB",5,"Composite",1,0.428964250195708,0.00503157440585011
"323","nsb_verdal","UB",5,"Composite",1,0.283810115290189,0.00226949289769425
"324","selbu_flub","UB",5,"Composite",1,0.370396532499876,0.00485057627864344
"325","selbu_kl","UB",5,"Composite",1,0.387450559256832,0.00059079129689753
"326","selbu_sl","UB",5,"Composite",1,0.434550999545502,0.0125517219748548
"327","singsaas","UB",5,"Composite",1,0.419453933213695,0.00686797590348752
"328","sl_tydal","UB",5,"Composite",1,0.444667297177714,0.00580340776498535
"329","stangeskovene_aurskog","UB",5,"Composite",1,0.370701324353869,0.00182853952460204
"330","stangeskovene_eidskog","UB",5,"Composite",1,0.295137386567454,0.000605601069683412
"331","steinkjer_1bbb","UB",5,"Composite",1,0.446282978249037,0.00357990762973898
"332","steinkjer_2bbb","UB",5,"Composite",1,0.451940959107428,0.00353725550619776
"333","stig_dahlen","UB",5,"Composite",1,0.259099702308569,0.00224611990145788
"334","sub_namdalseid","UB",5,"Composite",1,0.448324731834508,0.00543244562931992
"335","truls_holm","UB",5,"Composite",1,0.353364234777684,0.00622374725187255
"336","verdal_1vb","UB",5,"Composite",1,0.33345195119508,0.00207958595229597
"337","verdal_2vb","UB",5,"Composite",1,0.282952823987153,0.00161621704575512
"338","bratsberg","B",6,"Composite",1,0.41295488818165,0.00153370756527191
"339","didrik_holmsen","B",6,"Composite",1,0.328209712780088,0.00210133148536346
"340","drangedal1","B",6,"Composite",1,0.426212767301828,0.00369564241316775
"341","drangedal3","B",6,"Composite",1,0.437888287893215,0.00666630645013698
"342","drangedal4","B",6,"Composite",1,0.446931067387686,0.00903818716243838
"343","eidskog","B",6,"Composite",1,0.297750906427716,0.00715842110560292
"344","fet_3","B",6,"Composite",1,0.312513731521745,0.0224690563726062
"345","fritsoe1","B",6,"Composite",1,0.431319945787759,0.00874324029289938
"346","fritsoe2","B",6,"Composite",1,0.408029643226619,0.0163019222624229
"347","furesdal","B",6,"Composite",1,0.407946256526352,0.00327067037822926
"348","halvard_pramhus","B",6,"Composite",1,0.294661532572149,0.00746060741694647
"349","hi_tydal","B",6,"Composite",1,0.447536587438827,0.0156695420040078
"350","kviteseid1","B",6,"Composite",1,0.460497933458471,0.00552915321947252
"351","kviteseid2","B",6,"Composite",1,0.465119406313297,0.00426153226861766
"352","kviteseid3","B",6,"Composite",1,0.477018148508755,0.00172035687559155
"353","malvik","B",6,"Composite",1,0.357349117352641,0.0117647395874145
"354","namdalseid_1kub","B",6,"Composite",1,0.407832295647645,0.00106826639205606
"355","nome_cappelen1","B",6,"Composite",1,0.404610038359593,0.00755605124884395
"356","nome_cappelen2","B",6,"Composite",1,0.388047731619404,0.00200753986327203
"357","notodden3","B",6,"Composite",1,0.426550673143959,0.00752754438426451
"358","notodden5","B",6,"Composite",1,0.395606665866355,0.0187587423047309
"359","notodden6","B",6,"Composite",1,0.416752591316252,0.00441970647430271
