"","Region","LocalityName","LocalityCode","Treatment","Group","Month","Years_Since_Exclosure","Plot_Albedo","Productivity_Index","DistrictID","Moose_Density","Red_Deer_Density","Roe_Deer_Density","Mean_Canopy_Height","Snow_Prop","Avg_Decid_Prop","SWE_mm","Temp_K","Season"
"251","Telemark","drangedal3","3DRUB","UB","Composite","2",1,0.468314070510508,0.019353239,"0817",27.00672829,9.836987784,5.031787593,0.0915438149867882,1,0.333333333333333,155.402064896755,269.840560471976,"Season_1"
"252","Telemark","kviteseid3","3KVUB","UB","Composite","2",1,0.49545443424877,0.091250578,"0829",34.25057033,13.40190923,2.936689407,0.989695650640541,1,0.842637304468067,211.555752212389,267.62197640118,"Season_1"
"253","Telemark","notodden3","3NOUB","UB","Composite","2",1,0.459262066615141,0.142430355,"0807",45.75073179,7.549714848,3.55799475,1.12241627908268,1,0.280769230769231,147.638348082596,268.659734513274,"Season_1"
"254","Telemark","drangedal4","4DRUB","UB","Composite","2",1,0.492129660409747,0.205027981,"0817",27.00672829,9.836987784,5.031787593,2.34772389858373,0.991071428571429,0.980762147962365,155.956932153392,269.87005899705,"Season_1"
"255","Telemark","notodden5","5NOUB","UB","Composite","2",1,0.360057106856312,0.119776917,"0807",45.75073179,7.549714848,3.55799475,0.643162291463096,1,0.139193631398058,165.439233038348,268.368289085546,"Season_1"
"256","Telemark","notodden6","6NOUB","UB","Composite","2",1,0.466166183453049,0.106105683,"0807",45.75073179,7.549714848,3.55799475,1.03620902460949,0.985119047619048,0.54978354978355,128.946902654867,269.21401179941,"Season_1"
"257","Trøndelag","bratsberg","BRUB","UB","Composite","2",1,0.443839626066449,0.19644858,"1601",79.89208961,1.335197374,31.0221955,2.13904225370522,0.892959770114943,0.962045306175741,68.0418879056047,270.955014749262,"Season_1"
"258","Trøndelag","selbu_flub","FLUB","UB","Composite","2",1,0.431531729771367,0.271341572,"1664",56.44604547,5.437898015,4.380325628,1.40290329890915,0.904761904761905,0.833333333333333,62.5952802359882,270.12197640118,"Season_1"
"259","Trøndelag","hi_tydal","HIUB","UB","Composite","2",1,0.48079076480579,0.214070788,"1665",16.47588281,0.419443553,0,0.558368909693206,0.973214285714286,0.812845049687155,151.276991150442,268.67005899705,"Season_1"
"260","Trøndelag","selbu_kl","KLUB","UB","Composite","2",1,0.426291286764071,0.116040591,"1664",56.44604547,5.437898015,4.380325628,0.196003195316235,0.93452380952381,0.302083333333333,84.9466076696165,269.629351032448,"Season_1"
"261","Trøndelag","singsaas","LAUB","UB","Composite","2",1,0.420826977880413,0.042265252,"1648",36.25939668,6.648445301,2.712137721,0.195805897931934,0.9375,0,133.641887905605,268.832005899705,"Season_1"
"262","Trøndelag","malvik","MAUB","UB","Composite","2",1,0.420476499075209,0.160287892,"1663",91.59537109,0.841762109,20.5676583,0.413341902637828,0.863505747126437,0.707738095238095,58.1265486725664,270.578613569322,"Season_1"
"263","Trøndelag","sl_tydal","SEUB","UB","Composite","2",1,0.479534372378792,0.132712131,"1665",16.47588281,0.419443553,0,0.286093677692901,0.994047619047619,0.668784114436288,166.508554572271,268.158259587021,"Season_1"
"264","Trøndelag","selbu_sl","SLUB","UB","Composite","2",1,0.459601099520395,0.124288986,"1664",56.44604547,5.437898015,4.380325628,1.04207021931917,0.9375,0.669871794871795,114.761651917404,269.205162241888,"Season_1"
"415","Trøndelag","steinkjer_1bbb","1BBB","B","Composite","3",1,0.480736437726037,0.115979123,"1702",107.5650526,2.431337072,17.86445891,0.105052757969716,0.900537634408602,0.944047619047619,140.152956989247,271.550268817204,"Season_1"
"416","Telemark","nome_cappelen1","1CAB","B","Composite","3",1,0.36551920387514,0.080441283,"0806",36.73246483,7.237559382,26.88021893,0.212220429511045,0.706989247311828,0.217401960784314,103.610215053763,274.345698924731,"Season_1"
"417","Telemark","drangedal1","1DRB","B","Composite","3",1,0.397112445021213,0.21131677,"0817",27.00672829,9.836987784,5.031787593,0.724767388548418,0.768817204301075,0.193560606060606,140.966397849462,273.750806451613,"Season_1"
"418","Telemark","fritsoe1","1FRB","B","Composite","3",1,0.466461779091877,0.245537883,"0604",45.5486725,2.225169257,8.847710058,0.86256351190303,0.970430107526882,0.270833333333333,219.071774193548,272.368279569892,"Season_1"
"419","Telemark","furesdal","1FYB","B","Composite","3",1,0.423237326371645,0.058035047,"0831",23.22393919,2.078638027,1.526065809,0.256416666238159,0.943548387096774,0.0357142857142857,120.738978494624,272.262365591398,"Season_1"
"420","Trøndelag","namdalseid_1kub","1KB","B","Composite","3",1,0.435499317251941,0.222676728,"1725",75.88802955,8.758466457,7.375877596,0.129218140280598,0.806451612903226,0.912152777777778,83.3360215053763,272.838440860215,"Season_1"
"421","Telemark","kviteseid1","1KVB","B","Composite","3",1,0.48365151594992,0.105926078,"0829",34.25057033,13.40190923,2.936689407,1.1901827429254,0.975806451612903,0.737760416666667,171.846505376344,271.647311827957,"Season_1"
"422","Trøndelag","nsb_verdal","1NSB","B","Composite","3",1,0.252939077811828,0.110463648,"1721",28.2697902,2.827400105,6.979690234,0.0569086417820259,0.698924731182796,0.647222222222222,17.5698924731183,272.821505376344,"Season_1"
"423","Trøndelag","sub_namdalseid","1SB","B","Composite","3",1,0.485523363941307,0.077437345,"1725",75.88802955,8.758466457,7.375877596,0.186951220505757,0.895161290322581,0.830357142857143,163.505913978495,271.930107526882,"Season_1"
