"","Region","Treatment","Years_Since_Exclosure","Group","Month","Mean_Plot_Albedo","SE","Season"
"31","Trøndelag","B",6,"Composite",1,0.391701247025516,0.0187022707710849,"Winter"
"32","Hedmark","UB",6,"Composite",1,0.308370004707525,0.0126217888231256,"Winter"
"33","Telemark","UB",6,"Composite",1,0.423598384580596,0.008078231244935,"Winter"
"34","Trøndelag","UB",6,"Composite",1,0.388013547772423,0.0178400311706401,"Winter"
"35","Hedmark","B",7,"Composite",1,0.309686446216913,0.011955708378346,"Winter"
"36","Telemark","B",7,"Composite",1,0.425688983770111,0.00680635932049384,"Winter"
"37","Trøndelag","B",7,"Composite",1,0.39248065376688,0.0190038470850587,"Winter"
"38","Hedmark","UB",7,"Composite",1,0.304053515173313,0.0131776821205335,"Winter"
"39","Telemark","UB",7,"Composite",1,0.422740608761407,0.00790518543913728,"Winter"
"40","Trøndelag","UB",7,"Composite",1,0.385006084313708,0.0179875654721981,"Winter"
"41","Hedmark","B",8,"Composite",1,0.31750063533537,0.0139373544094253,"Winter"
"42","Telemark","B",8,"Composite",1,0.422583495631199,0.00700628136210658,"Winter"
"43","Trøndelag","B",8,"Composite",1,0.392929715939792,0.0196986810725133,"Winter"
"44","Hedmark","UB",8,"Composite",1,0.308523864424409,0.015332620090086,"Winter"
"45","Telemark","UB",8,"Composite",1,0.419701048312668,0.00789005161977593,"Winter"
"46","Trøndelag","UB",8,"Composite",1,0.38207051217489,0.017947667516129,"Winter"
"47","Hedmark","B",9,"Composite",1,0.329329488416931,0.0335924757337862,"Winter"
"48","Telemark","B",9,"Composite",1,0.420513392472593,0.00722071971530586,"Winter"
"49","Trøndelag","B",9,"Composite",1,0.391460334214139,0.019374272172818,"Winter"
"50","Hedmark","UB",9,"Composite",1,0.320974815375998,0.0337834806844454,"Winter"
"51","Telemark","UB",9,"Composite",1,0.417704104596906,0.00786511574617182,"Winter"
"52","Trøndelag","UB",9,"Composite",1,0.382391115269501,0.0177625332282312,"Winter"
"53","Hedmark","B",10,"Composite",1,0.32386007874556,0.0320263674386482,"Winter"
"54","Trøndelag","B",10,"Composite",1,0.391196581767986,0.0192843265225975,"Winter"
"55","Hedmark","UB",10,"Composite",1,0.316021296673027,0.0332462311685057,"Winter"
"56","Trøndelag","UB",10,"Composite",1,0.381883051121775,0.0177501830497683,"Winter"
"57","Hedmark","B",11,"Composite",1,0.321064415494913,0.0334481981943698,"Winter"
"58","Trøndelag","B",11,"Composite",1,0.388678819051038,0.0188115588662025,"Winter"
"59","Hedmark","UB",11,"Composite",1,0.315390659797017,0.0341231388226209,"Winter"
"60","Trøndelag","UB",11,"Composite",1,0.381876923026835,0.0175025633248788,"Winter"
"61","Telemark","B",1,"Deciduous",1,0.461789277692008,0.00496222346807611,"Winter"
"62","Trøndelag","B",1,"Deciduous",1,0.41007707469425,0.0204157061254893,"Winter"
"63","Telemark","UB",1,"Deciduous",1,0.463190912690709,0.00478413158626071,"Winter"
"64","Trøndelag","UB",1,"Deciduous",1,0.406500823401436,0.0212586896340818,"Winter"
"65","Hedmark","B",2,"Deciduous",1,0.346646089520847,0.0195170805741389,"Winter"
"66","Telemark","B",2,"Deciduous",1,0.460956877583979,0.00464351588669597,"Winter"
"67","Trøndelag","B",2,"Deciduous",1,0.409155595321927,0.0204751184704336,"Winter"
"68","Hedmark","UB",2,"Deciduous",1,0.346718800355673,0.0196424697564552,"Winter"
"69","Telemark","UB",2,"Deciduous",1,0.46183815419074,0.00481498049158845,"Winter"
"70","Trøndelag","UB",2,"Deciduous",1,0.40556485628601,0.0211809548602089,"Winter"
"71","Hedmark","B",3,"Deciduous",1,0.337384907550091,0.0118490758802704,"Winter"
"72","Telemark","B",3,"Deciduous",1,0.461090581489367,0.00469122592931911,"Winter"
"73","Trøndelag","B",3,"Deciduous",1,0.409400753235887,0.0206505588517132,"Winter"
"74","Hedmark","UB",3,"Deciduous",1,0.334874983479433,0.0124330002092339,"Winter"
"75","Telemark","UB",3,"Deciduous",1,0.460369986460352,0.00482083066253133,"Winter"
"76","Trøndelag","UB",3,"Deciduous",1,0.409107844362231,0.0198840453617162,"Winter"
"77","Hedmark","B",4,"Deciduous",1,0.336874691409756,0.0117981280403108,"Winter"
"78","Telemark","B",4,"Deciduous",1,0.460542926261056,0.00463026243512764,"Winter"
"79","Trøndelag","B",4,"Deciduous",1,0.408371785083406,0.020702976208928,"Winter"
"80","Hedmark","UB",4,"Deciduous",1,0.332945889538675,0.012558640397548,"Winter"
"81","Telemark","UB",4,"Deciduous",1,0.458679043810496,0.00482732418059896,"Winter"
"82","Trøndelag","UB",4,"Deciduous",1,0.407543548735652,0.0201146457350704,"Winter"
"83","Hedmark","B",5,"Deciduous",1,0.335672966893914,0.0117585612462268,"Winter"
"84","Telemark","B",5,"Deciduous",1,0.460016833120986,0.00462968085931577,"Winter"
"85","Trøndelag","B",5,"Deciduous",1,0.408311198716439,0.0206829143382705,"Winter"
"86","Hedmark","UB",5,"Deciduous",1,0.329883173905873,0.0130399897341552,"Winter"
"87","Telemark","UB",5,"Deciduous",1,0.456947712273971,0.00495759822966347,"Winter"
"88","Trøndelag","UB",5,"Deciduous",1,0.406301312293406,0.0200361229331504,"Winter"
"89","Hedmark","B",6,"Deciduous",1,0.337019042885125,0.0111289917041972,"Winter"
"90","Telemark","B",6,"Deciduous",1,0.459376636892745,0.00461480543458368,"Winter"
"91","Trøndelag","B",6,"Deciduous",1,0.407686440069386,0.020554871319158,"Winter"
"92","Hedmark","UB",6,"Deciduous",1,0.329070906873809,0.0125752887626726,"Winter"
"93","Telemark","UB",6,"Deciduous",1,0.45474369543005,0.00499578425028615,"Winter"
"94","Trøndelag","UB",6,"Deciduous",1,0.403492806663067,0.0198990811420436,"Winter"
"95","Hedmark","B",7,"Deciduous",1,0.335833341147579,0.0111865908209315,"Winter"
"96","Telemark","B",7,"Deciduous",1,0.458792029167668,0.00464283237127728,"Winter"
"97","Trøndelag","B",7,"Deciduous",1,0.407255512214069,0.0206122575805339,"Winter"
"98","Hedmark","UB",7,"Deciduous",1,0.327305396156742,0.0126500788354942,"Winter"
"99","Telemark","UB",7,"Deciduous",1,0.453480951013066,0.00505813690573628,"Winter"
"100","Trøndelag","UB",7,"Deciduous",1,0.400362436182615,0.0198310915875,"Winter"
"101","Hedmark","B",8,"Deciduous",1,0.330397011042392,0.0142154795652659,"Winter"
"102","Telemark","B",8,"Deciduous",1,0.457898208392794,0.00458652219937448,"Winter"
"103","Trøndelag","B",8,"Deciduous",1,0.405582625151439,0.0205653885564144,"Winter"
"104","Hedmark","UB",8,"Deciduous",1,0.315863265570791,0.0172634938194781,"Winter"
"105","Telemark","UB",8,"Deciduous",1,0.451671430697918,0.00517470006316194,"Winter"
"106","Trøndelag","UB",8,"Deciduous",1,0.395887155239752,0.019698220472034,"Winter"
"107","Hedmark","B",9,"Deciduous",1,0.338425509380131,0.0397243157069165,"Winter"
"108","Telemark","B",9,"Deciduous",1,0.45772741987967,0.00459407304276097,"Winter"
"109","Trøndelag","B",9,"Deciduous",1,0.404064058839729,0.0206832300300157,"Winter"
"110","Hedmark","UB",9,"Deciduous",1,0.327257660852597,0.0403634144821618,"Winter"
"111","Telemark","UB",9,"Deciduous",1,0.450805279242944,0.0051921629887302,"Winter"
"112","Trøndelag","UB",9,"Deciduous",1,0.395916348820434,0.0197769468807804,"Winter"
"113","Hedmark","B",10,"Deciduous",1,0.336256417581778,0.0400886991499831,"Winter"
"114","Trøndelag","B",10,"Deciduous",1,0.404598887743695,0.0206600843793022,"Winter"
"115","Hedmark","UB",10,"Deciduous",1,0.325047268761799,0.0391955920444346,"Winter"
"116","Trøndelag","UB",10,"Deciduous",1,0.39546719814134,0.019684449131852,"Winter"
"117","Hedmark","B",11,"Deciduous",1,0.334411368925326,0.0408276755273691,"Winter"
"118","Trøndelag","B",11,"Deciduous",1,0.404042980607189,0.0206297083772321,"Winter"
"119","Hedmark","UB",11,"Deciduous",1,0.325643677606695,0.039738082093617,"Winter"
"120","Trøndelag","UB",11,"Deciduous",1,0.39589016403582,0.0194899086737281,"Winter"
"121","Telemark","B",1,"Pine",1,0.419586574249986,0.00584054286927915,"Winter"
"122","Trøndelag","B",1,"Pine",1,0.374539382872211,0.0195723875513507,"Winter"
"123","Telemark","UB",1,"Pine",1,0.422045328906996,0.00515222501035557,"Winter"
"124","Trøndelag","UB",1,"Pine",1,0.369333700752311,0.0188178511691977,"Winter"
"125","Hedmark","B",2,"Pine",1,0.323508874009321,0.018756119650032,"Winter"
"126","Telemark","B",2,"Pine",1,0.420666025722521,0.00519697430340218,"Winter"
"127","Trøndelag","B",2,"Pine",1,0.374918677693685,0.019542372184066,"Winter"
"128","Hedmark","UB",2,"Pine",1,0.326012765814256,0.01317596716488,"Winter"
"129","Telemark","UB",2,"Pine",1,0.423664532854958,0.00521529395679735,"Winter"
"130","Trøndelag","UB",2,"Pine",1,0.378117330262069,0.0220865450517617,"Winter"
"131","Hedmark","B",3,"Pine",1,0.322569048268203,0.0103444033581902,"Winter"
"132","Telemark","B",3,"Pine",1,0.419605532557466,0.00576936402156107,"Winter"
"133","Trøndelag","B",3,"Pine",1,0.374584847869525,0.0196056914160051,"Winter"
"134","Hedmark","UB",3,"Pine",1,0.324066608200402,0.00925527359891552,"Winter"
"135","Telemark","UB",3,"Pine",1,0.423195201214129,0.0053161306954343,"Winter"
"136","Trøndelag","UB",3,"Pine",1,0.377792962051047,0.0221391212465915,"Winter"
"137","Hedmark","B",4,"Pine",1,0.320742128630672,0.0105087319731067,"Winter"
"138","Telemark","B",4,"Pine",1,0.418529650592533,0.00503064525673893,"Winter"
"139","Trøndelag","B",4,"Pine",1,0.377085229184635,0.0178006930433473,"Winter"
"140","Hedmark","UB",4,"Pine",1,0.322920019151838,0.00940717244006771,"Winter"
"141","Telemark","UB",4,"Pine",1,0.422312177398701,0.00538069561678943,"Winter"
"142","Trøndelag","UB",4,"Pine",1,0.376630212901685,0.0219788294647844,"Winter"
"143","Hedmark","B",5,"Pine",1,0.317209650491997,0.0111214731387394,"Winter"
"144","Telemark","B",5,"Pine",1,0.416854389575141,0.00514717523961204,"Winter"
"145","Trøndelag","B",5,"Pine",1,0.372967769017747,0.0194219147194778,"Winter"
"146","Hedmark","UB",5,"Pine",1,0.321280780428516,0.00953962516111835,"Winter"
"147","Telemark","UB",5,"Pine",1,0.421012285606206,0.00552326599939178,"Winter"
"148","Trøndelag","UB",5,"Pine",1,0.375826532821698,0.0218699126748886,"Winter"
"149","Hedmark","B",6,"Pine",1,0.319514091294813,0.0105611308769032,"Winter"
"150","Telemark","B",6,"Pine",1,0.414571512542348,0.00527266385757241,"Winter"
"151","Trøndelag","B",6,"Pine",1,0.372448967035383,0.0193489605921788,"Winter"
"152","Hedmark","UB",6,"Pine",1,0.32305776132643,0.00942976948283657,"Winter"
"153","Telemark","UB",6,"Pine",1,0.417546425613858,0.00556432298807694,"Winter"
"154","Trøndelag","UB",6,"Pine",1,0.375827337446001,0.0218053596995421,"Winter"
"155","Hedmark","B",7,"Pine",1,0.316220278326274,0.0111499965691057,"Winter"
"156","Telemark","B",7,"Pine",1,0.412000743430837,0.00560062770322007,"Winter"
"157","Trøndelag","B",7,"Pine",1,0.372613734952011,0.0192286413629322,"Winter"
"158","Hedmark","UB",7,"Pine",1,0.319006722486927,0.010421193192971,"Winter"
"159","Telemark","UB",7,"Pine",1,0.415393962707609,0.00588892532269927,"Winter"
"160","Trøndelag","UB",7,"Pine",1,0.374784162571708,0.0215428899742489,"Winter"
"161","Hedmark","B",8,"Pine",1,0.321094051080786,0.0111219510154145,"Winter"
"162","Telemark","B",8,"Pine",1,0.408838852794421,0.00567013246645414,"Winter"
"163","Trøndelag","B",8,"Pine",1,0.371423779057573,0.0197652078979485,"Winter"
"164","Hedmark","UB",8,"Pine",1,0.323234957594702,0.013568431680864,"Winter"
"165","Telemark","UB",8,"Pine",1,0.41359119577834,0.0060239823586827,"Winter"
"166","Trøndelag","UB",8,"Pine",1,0.374127902857176,0.0214449125384026,"Winter"
"167","Hedmark","B",9,"Pine",1,0.33583464390822,0.0254141182202664,"Winter"
"168","Telemark","B",9,"Pine",1,0.406285358754357,0.00580119854149918,"Winter"
"169","Trøndelag","B",9,"Pine",1,0.372618782505628,0.0194027942815446,"Winter"
"170","Hedmark","UB",9,"Pine",1,0.330011338710088,0.0324091894425138,"Winter"
"171","Telemark","UB",9,"Pine",1,0.411204318028952,0.0062637837804439,"Winter"
"172","Trøndelag","UB",9,"Pine",1,0.358890165194346,0.0228665670286469,"Winter"
"173","Hedmark","B",10,"Pine",1,0.333595504897346,0.0256451806240631,"Winter"
"174","Trøndelag","B",10,"Pine",1,0.37280504515528,0.0193065628758357,"Winter"
"175","Hedmark","UB",10,"Pine",1,0.324210703519943,0.0346483508659725,"Winter"
"176","Trøndelag","UB",10,"Pine",1,0.358195924265056,0.0224966362768043,"Winter"
"177","Hedmark","B",11,"Pine",1,0.328227027751416,0.0260217802665558,"Winter"
"178","Trøndelag","B",11,"Pine",1,0.372632548021806,0.0192763066225825,"Winter"
"179","Hedmark","UB",11,"Pine",1,0.320959440368342,0.0351702042326756,"Winter"
"180","Trøndelag","UB",11,"Pine",1,0.356548726318583,0.0223013590101246,"Winter"
"181","Telemark","B",1,"Spruce",1,0.402789284184687,0.0045544738119005,"Winter"
"182","Trøndelag","B",1,"Spruce",1,0.361560221263419,0.0146263387502355,"Winter"
"183","Telemark","UB",1,"Spruce",1,0.395419944199763,0.00625504631539679,"Winter"
"184","Trøndelag","UB",1,"Spruce",1,0.361523265435633,0.0144280608017466,"Winter"
"185","Hedmark","B",2,"Spruce",1,0.312451108853109,0.013517798912713,"Winter"
"186","Telemark","B",2,"Spruce",1,0.403722271927628,0.00470860467211195,"Winter"
"187","Trøndelag","B",2,"Spruce",1,0.360185085106879,0.0148604043450248,"Winter"
"188","Hedmark","UB",2,"Spruce",1,0.302000591013576,0.0152766995479253,"Winter"
"189","Telemark","UB",2,"Spruce",1,0.396632495982651,0.00597065755378745,"Winter"
"190","Trøndelag","UB",2,"Spruce",1,0.360404374446294,0.0143412988655078,"Winter"
"191","Hedmark","B",3,"Spruce",1,0.304258275476303,0.00958913505146777,"Winter"
"192","Telemark","B",3,"Spruce",1,0.403213520871105,0.0043800755117726,"Winter"
"193","Trøndelag","B",3,"Spruce",1,0.359569694942077,0.0147895487318162,"Winter"
"194","Hedmark","UB",3,"Spruce",1,0.303189200823368,0.0105836720011915,"Winter"
"195","Telemark","UB",3,"Spruce",1,0.395207048213713,0.0051769271956739,"Winter"
"196","Trøndelag","UB",3,"Spruce",1,0.359740293769265,0.0143644818807938,"Winter"
"197","Hedmark","B",4,"Spruce",1,0.304309736288509,0.00962170987106326,"Winter"
"198","Telemark","B",4,"Spruce",1,0.402150644141361,0.00430813050644003,"Winter"
"199","Trøndelag","B",4,"Spruce",1,0.357888066224726,0.01471574753957,"Winter"
"200","Hedmark","UB",4,"Spruce",1,0.299926634372136,0.01022184015225,"Winter"
"201","Telemark","UB",4,"Spruce",1,0.391253336986707,0.00515446895059805,"Winter"
"202","Trøndelag","UB",4,"Spruce",1,0.356128989900148,0.0140107831618394,"Winter"
"203","Hedmark","B",5,"Spruce",1,0.300153314143975,0.00962169280705803,"Winter"
"204","Telemark","B",5,"Spruce",1,0.400649051018101,0.00432255387642912,"Winter"
"205","Trøndelag","B",5,"Spruce",1,0.354371507399033,0.0146077027476058,"Winter"
"206","Hedmark","UB",5,"Spruce",1,0.295000493443781,0.0101341051339475,"Winter"
"207","Telemark","UB",5,"Spruce",1,0.387725467924197,0.00534301318961693,"Winter"
"208","Trøndelag","UB",5,"Spruce",1,0.352410574170768,0.0139933393461234,"Winter"
"209","Hedmark","B",6,"Spruce",1,0.300550041658302,0.00962000761369225,"Winter"
"210","Telemark","B",6,"Spruce",1,0.398054317170495,0.0042693270548065,"Winter"
"211","Trøndelag","B",6,"Spruce",1,0.348120953777836,0.0146546034438834,"Winter"
"212","Hedmark","UB",6,"Spruce",1,0.294855648934688,0.00977853984537703,"Winter"
"213","Telemark","UB",6,"Spruce",1,0.385309367337417,0.00587077029757123,"Winter"
"214","Trøndelag","UB",6,"Spruce",1,0.349264644626321,0.0139068650165328,"Winter"
"215","Hedmark","B",7,"Spruce",1,0.294246455460172,0.0103107352811435,"Winter"
"216","Telemark","B",7,"Spruce",1,0.395081415082721,0.00443633821774838,"Winter"
"217","Trøndelag","B",7,"Spruce",1,0.345965443054336,0.0147729726156351,"Winter"
"218","Hedmark","UB",7,"Spruce",1,0.291261149363172,0.0106769358197369,"Winter"
"219","Telemark","UB",7,"Spruce",1,0.382804434763488,0.0056870147217894,"Winter"
"220","Trøndelag","UB",7,"Spruce",1,0.348835611521875,0.0139767686993034,"Winter"
"221","Hedmark","B",8,"Spruce",1,0.299325801442141,0.0149204011248422,"Winter"
"222","Telemark","B",8,"Spruce",1,0.391968313185825,0.00508040773272782,"Winter"
"223","Trøndelag","B",8,"Spruce",1,0.342511748357182,0.0154247622753448,"Winter"
"224","Hedmark","UB",8,"Spruce",1,0.298823913167732,0.0123215754419993,"Winter"
"225","Telemark","UB",8,"Spruce",1,0.378107157440869,0.00595751307664312,"Winter"
"226","Trøndelag","UB",8,"Spruce",1,0.346395412596988,0.0144528690482467,"Winter"
"227","Hedmark","B",9,"Spruce",1,0.315039471883865,0.0270143670135874,"Winter"
"228","Telemark","B",9,"Spruce",1,0.389289524978041,0.00527130544137877,"Winter"
"229","Trøndelag","B",9,"Spruce",1,0.342151124186199,0.015967143518693,"Winter"
"230","Hedmark","UB",9,"Spruce",1,0.318078225813198,0.0211225995477338,"Winter"
"231","Telemark","UB",9,"Spruce",1,0.376060852343352,0.00618736660401626,"Winter"
"232","Trøndelag","UB",9,"Spruce",1,0.34582105591732,0.0137346526935129,"Winter"
"233","Hedmark","B",10,"Spruce",1,0.311036486902213,0.0284915265151266,"Winter"
"234","Trøndelag","B",10,"Spruce",1,0.340384993268674,0.016316612794495,"Winter"
"235","Hedmark","UB",10,"Spruce",1,0.312230587340769,0.0196201459557471,"Winter"
"236","Trøndelag","UB",10,"Spruce",1,0.343748526134329,0.0140745774107911,"Winter"
"237","Hedmark","B",11,"Spruce",1,0.305720207621241,0.0299315025358591,"Winter"
"238","Trøndelag","B",11,"Spruce",1,0.337878090060064,0.0159457892997476,"Winter"
"239","Hedmark","UB",11,"Spruce",1,0.3109221713075,0.0204201843241888,"Winter"
"240","Trøndelag","UB",11,"Spruce",1,0.344586417682402,0.0133700893063941,"Winter"
"241","Telemark","B",1,"Composite",2,0.460020348245873,0.00598079546541958,"Winter"
"242","Trøndelag","B",1,"Composite",2,0.428159627413743,0.0163966605791119,"Winter"
"243","Telemark","UB",1,"Composite",2,0.4604303269648,0.00840972700124471,"Winter"
"244","Trøndelag","UB",1,"Composite",2,0.425137832894879,0.016119884729992,"Winter"
"245","Hedmark","B",2,"Composite",2,0.386346762040487,0.00939447460534229,"Winter"
"246","Telemark","B",2,"Composite",2,0.464797799857993,0.00578872369272207,"Winter"
"247","Trøndelag","B",2,"Composite",2,0.428493922519543,0.0163265959682782,"Winter"
"248","Hedmark","UB",2,"Composite",2,0.383033974065202,0.0189023492941304,"Winter"
"249","Telemark","UB",2,"Composite",2,0.464042820988092,0.00790457645232974,"Winter"
"250","Trøndelag","UB",2,"Composite",2,0.426569575607215,0.0159689116903526,"Winter"
"251","Hedmark","B",3,"Composite",2,0.390505705110317,0.00843225877822752,"Winter"
"252","Telemark","B",3,"Composite",2,0.463695508080625,0.0056865609860688,"Winter"
"253","Trøndelag","B",3,"Composite",2,0.426501140524585,0.016563358048529,"Winter"
"254","Hedmark","UB",3,"Composite",2,0.39031250668224,0.0116548322312521,"Winter"
"255","Telemark","UB",3,"Composite",2,0.459389910804158,0.00721120805625962,"Winter"
"256","Trøndelag","UB",3,"Composite",2,0.424780501640745,0.0156698191591352,"Winter"
"257","Hedmark","B",4,"Composite",2,0.387697821053387,0.00912749792428396,"Winter"
"258","Telemark","B",4,"Composite",2,0.461382763527108,0.00560730903864845,"Winter"
"259","Trøndelag","B",4,"Composite",2,0.425544515853604,0.0167094460346291,"Winter"
"260","Hedmark","UB",4,"Composite",2,0.387411665986836,0.0117088355822455,"Winter"
"261","Telemark","UB",4,"Composite",2,0.45659675125781,0.00706772021988963,"Winter"
"262","Trøndelag","UB",4,"Composite",2,0.423239623190472,0.0158347565262392,"Winter"
"263","Hedmark","B",5,"Composite",2,0.383054761865673,0.0101087528870028,"Winter"
"264","Telemark","B",5,"Composite",2,0.459097330983152,0.0059166102548618,"Winter"
"265","Trøndelag","B",5,"Composite",2,0.423589523313842,0.0166094947964618,"Winter"
"266","Hedmark","UB",5,"Composite",2,0.380013830521623,0.0134191353223092,"Winter"
"267","Telemark","UB",5,"Composite",2,0.453767578799586,0.00745936791680058,"Winter"
"268","Trøndelag","UB",5,"Composite",2,0.419793208392065,0.0156770080656752,"Winter"
"269","Hedmark","B",6,"Composite",2,0.38415248736962,0.0101374995343107,"Winter"
"270","Telemark","B",6,"Composite",2,0.454528193535074,0.00592266902714107,"Winter"
"271","Trøndelag","B",6,"Composite",2,0.422458769881796,0.0165351672209275,"Winter"
"272","Hedmark","UB",6,"Composite",2,0.377802166018435,0.0124752874367956,"Winter"
"273","Telemark","UB",6,"Composite",2,0.449113333879027,0.00809867595727209,"Winter"
"274","Trøndelag","UB",6,"Composite",2,0.417758072284734,0.015389283320902,"Winter"
"275","Hedmark","B",7,"Composite",2,0.378192110518639,0.0114362588472487,"Winter"
"276","Telemark","B",7,"Composite",2,0.452209113039685,0.00611895692511713,"Winter"
"277","Trøndelag","B",7,"Composite",2,0.423450419153499,0.0167497231601715,"Winter"
"278","Hedmark","UB",7,"Composite",2,0.372645422127742,0.0134256487371527,"Winter"
"279","Telemark","UB",7,"Composite",2,0.447798236641668,0.00781820288350969,"Winter"
"280","Trøndelag","UB",7,"Composite",2,0.414370728459912,0.0154980309649823,"Winter"
"281","Hedmark","B",8,"Composite",2,0.392482851330483,0.0103583106988394,"Winter"
"282","Telemark","B",8,"Composite",2,0.448552648602095,0.00642104096145692,"Winter"
"283","Trøndelag","B",8,"Composite",2,0.423635459333501,0.0173927584758028,"Winter"
"284","Hedmark","UB",8,"Composite",2,0.38322170670877,0.0118847384683357,"Winter"
"285","Telemark","UB",8,"Composite",2,0.444207714627768,0.00782881398217947,"Winter"
"286","Trøndelag","UB",8,"Composite",2,0.411007560255298,0.0153451042616417,"Winter"
"287","Hedmark","B",9,"Composite",2,0.399185256647517,0.0208872005200511,"Winter"
"288","Telemark","B",9,"Composite",2,0.446148806290736,0.00673241077416078,"Winter"
"289","Trøndelag","B",9,"Composite",2,0.422016290222426,0.0170888962908144,"Winter"
"290","Hedmark","UB",9,"Composite",2,0.389858931659122,0.0231799358633651,"Winter"
"291","Telemark","UB",9,"Composite",2,0.441907239609856,0.00782923305174612,"Winter"
"292","Trøndelag","UB",9,"Composite",2,0.411100944488811,0.0150682184712592,"Winter"
"293","Hedmark","B",10,"Composite",2,0.391987277615972,0.0186330032524808,"Winter"
"294","Trøndelag","B",10,"Composite",2,0.42182017423304,0.0170543185341714,"Winter"
"295","Hedmark","UB",10,"Composite",2,0.383246422453494,0.0227585052666183,"Winter"
"296","Trøndelag","UB",10,"Composite",2,0.410426674915863,0.0150795657724415,"Winter"
"297","Hedmark","B",11,"Composite",2,0.389207825995824,0.0203717284886006,"Winter"
"298","Trøndelag","B",11,"Composite",2,0.419123494225696,0.0166385288535521,"Winter"
"299","Hedmark","UB",11,"Composite",2,0.382652729252327,0.0234039030072552,"Winter"
"300","Trøndelag","UB",11,"Composite",2,0.410472436152172,0.014894971861697,"Winter"
"301","Telemark","B",1,"Deciduous",2,0.489031754955781,0.00346710002904985,"Winter"
"302","Trøndelag","B",1,"Deciduous",2,0.442340807891295,0.0175132195233084,"Winter"
"303","Telemark","UB",1,"Deciduous",2,0.490650671538387,0.0033575159423644,"Winter"
"304","Trøndelag","UB",1,"Deciduous",2,0.440191258110933,0.0183088068950518,"Winter"
"305","Hedmark","B",2,"Deciduous",2,0.432435603893975,0.0112933144452816,"Winter"
"306","Telemark","B",2,"Deciduous",2,0.487998513867417,0.00326554311522786,"Winter"
"307","Trøndelag","B",2,"Deciduous",2,0.441304641925466,0.0175636052064654,"Winter"
"308","Hedmark","UB",2,"Deciduous",2,0.432519762085561,0.0114049023685257,"Winter"
"309","Telemark","UB",2,"Deciduous",2,0.489029363936499,0.00335869094320482,"Winter"
"310","Trøndelag","UB",2,"Deciduous",2,0.439138347235639,0.0182769086236215,"Winter"
"311","Hedmark","B",3,"Deciduous",2,0.426580331637972,0.00782094816619993,"Winter"
"312","Telemark","B",3,"Deciduous",2,0.488151576112092,0.00332034880425371,"Winter"
"313","Trøndelag","B",3,"Deciduous",2,0.441598604293691,0.0177789975377677,"Winter"
"314","Hedmark","UB",3,"Deciduous",2,0.423707170939797,0.00866731531193652,"Winter"
